division,formula,paper,params,status,t_stat,secs,n_trades,years,trades_per_year,win_rate,avg_ret_gross_bps,avg_ret_net_bps,avg_cost_bps,payoff_ratio,profit_factor,expectancy_bps,sharpe_ann,total_return,max_drawdown,avg_hold_bars,avg_hold_hours,tp_hits,sl_hits,time_exits,champion
D7_VOLUME,U12_vwap_dev,Berkowitz-Logue-Noser 1988 JF,{'n': 168},ok,-0.815,1.1,905,1.73,522.7,0.474,-23.82,-36.71,12.89,1.04,0.937,-36.71,-0.619,-0.4204,-0.5695,126.6,126.6,191,239,475,False
D7_VOLUME,U01_abnormal_vol,Gervais-Kaniel-Mingelgrin 2001 JF,"{'n': 168, 'm': 720}",ok,-0.942,0.9,483,1.71,282.5,0.4658,-42.88,-57.66,14.79,1.032,0.9,-57.66,-0.721,-0.3406,-0.3839,134.2,134.2,105,98,280,False
D7_VOLUME,U20_kyle_from_vol,Kyle 1985 ECMA,{'n': 336},ok,-0.55,0.6,101,1.72,58.7,0.4851,-49.37,-69.8,20.43,0.932,0.878,-69.8,-0.419,-0.096,-0.2249,127.2,127.2,25,26,50,False
D7_VOLUME,U15_dollar_vol,Brennan-Chordia-Subrahmanyam 1998 JFE,{'n': 720},ok,-0.598,0.3,93,1.68,55.2,0.5591,-59.77,-79.35,19.58,0.675,0.855,-79.35,-0.461,-0.0989,-0.166,121.2,121.2,24,29,40,False
D7_VOLUME,U04_vpt,Granville 1963 (OBV); Campbell-Grossman-Wang 1993,{'n': 168},ok,-2.089,1.0,913,1.73,527.3,0.4644,-72.51,-85.19,12.68,0.976,0.846,-85.19,-1.587,-0.6608,-0.6656,125.7,125.7,222,236,455,False
D7_VOLUME,U18_vol_breakout,Gervais-Kaniel-Mingelgrin 2001,"{'n': 168, 'm': 720}",ok,-2.105,1.4,863,1.69,510.5,0.4658,-75.12,-87.56,12.44,0.964,0.841,-87.56,-1.619,-0.6486,-0.7597,127.7,127.7,197,235,431,False
D7_VOLUME,U07_taker_imb_fade,Bouchaud-Farmer-Lillo 2009,{'n': 48},ok,-2.309,1.1,914,1.73,527.8,0.4737,-74.47,-89.62,15.15,0.921,0.829,-89.62,-1.755,-0.6747,-0.7336,126.0,126.0,219,247,448,False
D7_VOLUME,U03_vol_trend,Campbell-Grossman-Wang 1993 QJE,"{'fast': 48, 'slow': 336}",ok,-1.936,0.6,717,1.71,418.7,0.4644,-82.02,-96.29,14.27,0.969,0.84,-96.29,-1.48,-0.6182,-0.7158,127.1,127.1,169,192,356,False
D7_VOLUME,U02_turnover_rev,Lee-Swaminathan 2000 JF,{'n': 168},ok,-1.248,0.4,181,1.72,105.3,0.453,-92.79,-113.02,20.24,0.962,0.797,-113.02,-0.952,-0.2418,-0.3001,131.0,131.0,37,50,94,False
D7_VOLUME,U16_vol_regime,Ane-Geman 2000 JF,"{'n': 168, 'm': 1440}",ok,-1.156,1.2,229,1.65,138.8,0.4367,-100.55,-114.49,13.94,1.069,0.829,-114.49,-0.9,-0.3079,-0.3751,132.3,132.3,52,43,134,False
D7_VOLUME,U08_amihud,Amihud 2002 JFM,{'n': 720},ok,-0.995,0.3,47,1.69,27.8,0.4468,-165.93,-188.38,22.45,0.842,0.68,-188.38,-0.765,-0.1103,-0.1521,136.0,136.0,8,14,25,False
D8_REGIME,R14_dispersion,Stivers-Sun 2010 JFQA,{'n': 336},ok,2.454,0.9,835,1.69,493.2,0.5246,130.08,117.15,12.93,1.109,1.223,117.15,1.886,1.9983,-0.2853,126.9,126.9,231,182,422,True
D8_REGIME,R08_vol_term,Bollerslev-Tauchen-Zhou 2009 RFS,"{'s': 168, 'l': 1440}",ok,1.043,0.5,403,1.67,241.6,0.5112,81.7,67.75,13.95,1.086,1.136,67.75,0.808,0.3334,-0.2399,133.6,133.6,86,85,232,False
D8_REGIME,R15_corr_regime,Pollet-Wilson 2010 JFE,{'n': 336},ok,0.769,0.6,293,1.67,175.7,0.5051,81.73,65.82,15.91,1.099,1.122,65.82,0.595,0.2117,-0.2399,132.0,132.0,67,64,162,False
D8_REGIME,R01_trend_regime,Hamilton 1989 ECMA (2-state),{'n': 720},ok,0.35,0.6,174,1.66,105.1,0.431,46.75,35.09,11.66,1.417,1.073,35.09,0.272,0.0543,-0.2112,131.0,131.0,37,43,94,False
D8_REGIME,R11_btc_leadlag,Lo-MacKinlay 1990 RFS,"{'lag': 1, 'n': 336}",ok,0.362,4.0,441,1.73,255.2,0.4966,34.86,21.74,13.12,1.059,1.044,21.74,0.275,0.0673,-0.3993,132.9,132.9,99,99,243,False
D8_REGIME,R02_vol_regime_switch,Ang-Bekaert 2002 RFS,"{'n': 168, 'm': 1440}",ok,-0.099,1.1,859,1.73,496.1,0.5041,8.7,-4.6,13.3,0.976,0.992,-4.6,-0.075,-0.1598,-0.595,129.3,129.3,202,212,445,False
D8_REGIME,R04_cusum,Page 1954 Biometrika,"{'n': 336, 'k': 0.5}",ok,-0.3,0.8,789,1.72,458.2,0.4791,-0.72,-13.53,12.82,1.059,0.974,-13.53,-0.229,-0.2073,-0.442,128.9,128.9,194,186,409,False
D8_REGIME,R13_peer_momentum,Hou 2007 RFS,"{'k': 168, 'n': 504}",ok,-0.391,0.9,827,1.73,479.0,0.4728,-5.3,-18.18,12.88,1.079,0.968,-18.18,-0.297,-0.2618,-0.5228,130.8,130.8,196,175,456,False
D8_REGIME,R07_drawdown_state,Grossman-Zhou 1993 MF,{'n': 720},ok,-0.328,0.7,547,1.71,320.0,0.4845,-6.59,-19.91,13.32,1.028,0.966,-19.91,-0.251,-0.1993,-0.5076,128.8,128.8,139,124,284,False
D8_REGIME,R06_hurst_regime,Hurst 1951; Peters 1994,{'n': 480},ok,-0.539,68.3,817,1.72,474.1,0.4896,-12.13,-24.78,12.65,0.996,0.955,-24.78,-0.411,-0.3045,-0.4349,130.1,130.1,188,167,462,False
D8_REGIME,R05_range_regime,Alexander 1961; Lo-MacKinlay 1988,"{'n': 336, 'q': 8}",ok,-0.707,1.4,896,1.71,523.5,0.4877,-17.43,-29.99,12.56,0.992,0.945,-29.99,-0.54,-0.3617,-0.6221,126.7,126.7,212,238,446,False
D8_REGIME,R19_eigen_exposure,Avellaneda-Lee 2010,{'n': 504},ok,-0.224,0.6,79,1.69,46.7,0.519,-21.02,-35.27,14.25,0.868,0.936,-35.27,-0.172,-0.0457,-0.1765,143.5,143.5,15,16,48,False
D8_REGIME,R18_corr_to_btc,Pollet-Wilson 2010,{'n': 504},ok,-0.474,0.6,157,1.72,91.5,0.4777,-40.08,-55.06,14.98,0.993,0.908,-55.06,-0.362,-0.1253,-0.343,133.7,133.7,36,31,90,False
D8_REGIME,R12_pca_residual,Avellaneda-Lee 2010 QF,"{'n': 504, 'k': 3}",ok,-1.196,1.1,807,1.68,480.7,0.482,-43.97,-56.4,12.43,0.972,0.905,-56.4,-0.923,-0.4947,-0.5984,127.4,127.4,185,209,413,False
D8_REGIME,R16_idio_mom,Blitz-Huij-Martens 2011 JEF,"{'k': 336, 'n': 504}",ok,-1.315,1.1,846,1.68,502.5,0.4551,-44.47,-56.44,11.96,1.074,0.897,-56.44,-1.013,-0.5034,-0.5457,126.0,126.0,213,228,405,False
D8_REGIME,R20_lead_lag_net,Billio-Getmansky-Lo-Pelizzon 2012 JFE,{'n': 336},ok,-0.998,1.2,493,1.73,284.8,0.4909,-46.79,-63.08,16.29,0.925,0.892,-63.08,-0.759,-0.3717,-0.5862,133.3,133.3,102,108,283,False
D8_REGIME,R03_risk_on_off,Bekaert-Hoerova 2014 JoE,{'n': 336},ok,-0.889,0.7,264,1.68,157.4,0.4886,-58.85,-70.14,11.29,0.907,0.866,-70.14,-0.687,-0.2331,-0.2719,137.7,137.7,51,53,160,False
D8_REGIME,R09_rel_strength,Jegadeesh-Titman 1993 JF,{'k': 336},ok,-2.381,0.7,728,1.71,425.2,0.4354,-113.0,-126.33,13.33,1.048,0.809,-126.33,-1.82,-0.7183,-0.7363,125.5,125.5,186,184,358,False
D8_REGIME,R10_btc_beta,Sharpe 1964; Frazzini-Pedersen 2014 JFE,{'n': 720},ok,-1.271,0.5,127,1.68,75.7,0.4882,-157.77,-167.44,9.68,0.786,0.749,-167.44,-0.981,-0.2502,-0.3704,128.2,128.2,32,37,58,False
D8_REGIME,R17_beta_dispersion,Frazzini-Pedersen 2014 JFE,{'n': 720},ok,-1.218,0.6,97,1.66,58.6,0.5052,-168.71,-178.19,9.48,0.708,0.723,-178.19,-0.947,-0.2071,-0.2789,134.6,134.6,17,23,57,False
